# RUN PARAMETERS: 
# --------------- 
# /anaconda3/envs/fishtaco1/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'pathway', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'FishTaco_data/bv_qpcr.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'multi_taxa', 'functional_profile_already_corrected_with_musicc': False, 'function_abun_file': 'FishTaco_data/bv_metagenomes.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'FishTaco_data/bv_metadata_fishtaco.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	ko00053	ko00071	ko00190	ko00195	ko00270	ko00280	ko00290	ko00330	ko00340	ko00360	ko00400	ko00401	ko00410	ko00472	ko00511	ko00521	ko00523	ko00531	ko00540	ko00562	ko00604	ko00660	ko00670	ko00710	ko00730	ko00750	ko00760	ko00770	ko00785	ko00790	ko00860	ko00908	ko00910	ko00920	ko00940	ko00941	ko00944	ko00960	ko01053	ko02030	ko02040	ko03018	ko04070	ko04146	ko04973	ko05111	ko05134
BVAB1	a:0.395661425033	b:-0.37446641727	b:-0.535897470371	b:-0.39300992105	b:-0.52907080522	b:-0.750984238907	b:-0.404858696474	a:0.402632795056	b:-0.493554271128	b:-0.452194213811	b:-0.294423342774	b:-0.417418228182	a:0.638420872379	b:-0.273394320011	b:-0.427092174497	a:0.396278548753	a:0.484510216611	b:-0.0586437775026	a:0.022327110587	b:-0.44689546187	b:-0.251318314938	b:-0.399125829916	b:-0.587650742338	a:0.535216506266	b:-0.223794597026	b:-0.503819805008	b:-0.438038672482	b:-0.458803821653	b:-0.326581872624	b:-0.445810175328	b:-0.141580949445	b:-0.48353133071	a:0.124552590799	b:-0.508922779769	a:0.271372707825	b:-0.176629320715	b:-0.282212805169	b:-0.372002178416	a:0.0336098345989	a:0.960487101782	a:1.16959415427	b:-0.434395514521	b:-0.444746168914	b:-0.549286927082	b:-0.228016574476	a:0.139167782899	a:0.875707070731
BVAB2	a:0.174731133273	a:0.397853278246	a:0.135035181987	b:-0.226629110112	a:0.304620780243	a:0.402390201594	a:0.0433050610414	a:0.28709021057	a:0.117904678725	a:0.509633536053	a:0.327296884934	a:0.238409789126	b:-0.12927252325	b:-0.0685305250996	b:-0.0204161550679	a:0.510637958108	b:-0.149680166267	b:-0.063453086493	a:0.0726333338312	a:0.273883762962	b:-0.0574265541652	a:0.0844182688704	a:0.289043726345	b:-0.0190499708326	a:0.141606485599	a:0.169036570947	a:0.404633127114	a:0.266588934989	b:-0.0589246751959	a:0.0782342635934	b:-0.173356436987	a:0.707181222864	a:0.443256559935	a:0.184481688049	b:-0.0466375291294	b:-0.0114061487559	b:-0.0663386718872	a:0.123543912718	b:-0.083571319765	b:-0.0699903418993	b:-0.0356186787081	a:0.243278682475	a:0.150612235885	a:0.480628721213	b:-0.0575414668579	a:0.516941132103	a:0.32255992838
BVAB3	b:-0.0263831030364	b:-0.0151216591528	b:-0.0426624011675	b:-0.0324224034411	b:-0.0334821538292	b:-0.0449180947647	b:-0.0342354703702	b:-0.0392192764124	b:-0.0483612195197	b:-0.0377977638436	b:-0.0350100670395	b:-0.0400747375691	b:-0.0165431717217	b:-0.0135554417117	b:-0.0198501036557	b:-0.031954240619	b:-0.0281834018886	b:-0.0244466113633	b:-0.0375934746121	b:-0.0335076899832	b:-0.0221228213556	b:-0.0341716299854	b:-0.0644617645733	b:-0.0170666628772	b:-0.0591417325043	b:-0.0506254251683	b:-0.0706287457476	b:-0.0336523948555	b:-0.0217653152006	b:-0.065304457653	b:-0.0471099479771	b:-0.072314131907	b:-0.0613250736654	b:-0.0284345074022	b:-0.00566902617269	a:0.00151514513324	b:-0.0114572210637	b:-0.0442882029677	b:-0.0187648171137	b:-0.00923557567173	b:-0.00204714834014	b:-0.0851162570778	b:-0.0339077563948	b:-0.0433901815545	b:-0.00933772028745	b:-0.0277365191948	b:-0.0289239503526
Eggerthella.sp1	a:0.475840692351	b:-0.307544669868	a:0.497610263577	a:0.548214408617	a:0.510514533364	b:-0.125705973751	a:0.57609988871	a:0.598550424041	a:0.236226447965	a:0.00476674873379	a:0.455169175744	a:0.375551703812	a:0.391328790916	a:1.66626809221	a:0.0225016076389	b:-0.175667458917	b:-0.249313726854	a:0.103463983677	b:-0.0962202280122	a:0.633628587491	b:-0.12998753556	a:0.428224277321	a:0.236371152837	a:0.411242734957	a:0.584769412969	a:0.325956236853	a:0.409395619822	a:0.509080252718	b:-0.134064808138	a:0.575572141529	a:0.248726395314	a:0.0211694716088	a:0.106034623173	a:0.714565427375	b:-0.10851588613	b:-0.0549963635161	b:-0.144317573941	a:0.313286048477	b:-0.179310616878	b:-0.10744762369	b:-0.0693944983076	a:0.300692468564	a:0.918684417797	b:-0.000817156925793	b:-0.115768153846	b:-0.0822732319401	a:0.340392675875
LeptoSneath	b:-0.455109591385	b:-0.273717777961	a:0.240265416311	b:-0.0362102662742	b:-0.393737701437	b:-0.406548338659	b:-0.309804619491	b:-0.216546585335	a:0.0687858866389	b:-0.408927457	b:-0.404990633269	b:-0.215095280587	b:-0.214009994045	b:-0.228216607682	a:0.288673452113	b:-0.360996096072	b:-0.356995431956	a:0.71937048034	a:0.494324611771	b:-0.365086136726	a:0.681759981625	b:-0.120334869374	b:-0.136916345327	a:0.345827620637	b:-0.671941330439	b:-0.195887836805	a:0.0255191298284	b:-0.46521339629	a:1.33379162405	a:0.0553538696712	a:0.305637970375	b:-0.0609079831512	b:-0.128548998889	b:-0.495380106134	a:1.82583926209	b:-0.141474548804	a:1.49255840509	b:-0.0220887731503	b:-0.383510471788	b:-0.199343729637	b:-0.12374820195	b:-0.138635779692	b:-0.232664154491	b:-0.253923002639	b:-0.225326766262	b:-0.532301128692	b:-0.211652155832
atopobium.vaginae	a:0.492783930484	b:-0.358089230549	a:0.602495759823	b:-0.12280762028	a:0.157017554496	a:0.143840899068	a:0.188656849217	a:0.626172030543	a:0.249581856471	a:0.380058834981	a:0.273202798857	a:0.148416126647	a:0.871893671744	b:-0.170641092619	b:-0.135609745451	a:0.223343458307	a:0.0179434041622	a:0.604849342011	a:0.473538182472	a:0.271411012056	a:0.289975795964	a:0.0733313220386	a:0.0667344822731	a:0.595613766339	a:0.190142202171	a:0.384102059354	a:0.575099722681	a:0.270044827821	a:0.196824162449	a:0.307787263331	a:0.125565524905	a:0.592298322353	a:0.811445339364	a:0.199177744636	b:-0.180068189445	b:-0.100331548795	a:1.24464491068	a:0.35166263181	a:0.960708415117	b:-0.160005284506	b:-0.0924281091534	a:0.20508085222	a:0.20189734503	a:0.0555751830052	b:-0.139052870206	a:0.427347536036	b:-0.0332395603669
gardnerella.vaginalis	a:0.691633961145	a:1.84992411128	b:-0.144483558942	a:2.03867459306	a:0.413928287145	a:1.08639736477	a:1.29049933108	a:0.990785748422	a:0.246423885435	a:0.890437175524	a:1.07799597012	a:0.852435122449	a:0.568753988429	a:1.24177634938	a:0.928298779752	a:1.55436440965	a:1.20513196849	b:-0.254378397384	b:-0.533369391132	a:1.28417487696	a:0.432271757719	a:0.57187791126	a:0.743191455932	a:1.05808202608	a:0.944756830961	a:0.784304663761	b:-0.587820983364	a:1.29440210661	a:0.333987357264	b:-0.198139274377	a:0.539876854359	a:0.397619196835	b:-0.330322919175	a:0.752699417246	a:1.0747911828	a:3.12206294769	b:-0.708368654021	a:0.49616747088	a:0.624827126436	a:1.68328368277	a:1.70836869799	a:1.11665345115	a:1.51220421951	a:1.180000137	a:2.75169508312	a:0.914670985605	a:1.35618683105
lactobacillus.crispatus	c:0.319725415294	c:0.313213696041	d:-0.552398081836	c:0.880060984977	d:-0.293993484182	d:-0.997386844213	c:1.47465330516	d:-0.126718907857	c:1.52827071636	c:1.49393310138	c:1.56551094084	c:1.52827922841	c:1.34966234372	c:1.38729837859	d:-0.571311859848	c:0.689531484472	c:0.472503968237	c:1.2240116983	c:1.29132074404	c:1.50924628168	c:1.14173421033	c:1.42718585103	c:0.422840404867	c:0.338698777664	d:-0.329088671735	c:0.821676825039	c:0.167746995173	d:-0.135618257502	c:1.06096761148	c:1.59450724363	c:1.41172370982	c:0.132983777622	c:0.684454045865	c:0.384621294484	c:0.894914514513	c:1.05437928376	c:0.856895437336	c:1.52063966236	c:1.08540571079	c:0.911249140978	c:1.06105698801	c:1.22662489805	c:1.12296939322	c:1.22147085098	c:1.11216760011	d:-1.13340942415	c:1.13794209147
lactobacillus.iners	c:1.59157058593	c:1.0557624921	c:1.86268793222	c:0.660237259887	c:1.39263117873	c:1.03000502483	c:1.14227472559	c:1.6907359837	c:1.15607276077	c:1.14213853277	c:1.24153801195	c:1.20471487798	c:1.17077307338	c:1.12635293362	c:1.37376847303	c:1.2814765567	c:1.46512831974	c:1.16660642426	c:1.3016501183	c:1.00548180501	c:1.15262112396	c:1.218819347	c:1.37168302046	c:1.36129831786	c:1.84010971612	c:1.36766958826	c:1.60723276034	c:1.37574326893	c:0.943131029161	c:0.926775122568	c:1.21484421904	c:1.43027146963	c:1.51503022055	c:1.58091775372	c:0.837373047655	c:0.602938386491	c:0.762130770097	c:1.23813744745	c:0.703380591953	c:1.13749946481	c:0.630815354533	c:0.957503627798	c:0.973774413878	c:1.00434119013	d:-0.133541316982	c:1.48325898903	c:1.0216887507
lactobacillus.jensenii	c:0.707189734915	c:0.930460840785	d:-0.283591757481	c:0.810726071028	c:0.802341700488	c:0.690867876527	c:0.476955771073	c:0.30251830357	c:0.519328762496	c:0.509386686565	c:0.477304765176	c:0.450508827651	c:0.540932348721	c:0.361442978766	c:0.559220490961	c:0.754482691995	c:0.588799869265	c:0.3186316167	c:0.347615151412	c:0.682823988039	c:0.27728432746	c:0.454207313946	c:0.598137589552	c:0.757606614826	d:-0.014798201203	c:0.649469514979	c:0.183455985866	c:0.757670455211	c:0.383314694607	c:0.799898741761	c:0.466656188987	c:0.345082816147	c:0.571575733438	c:0.486233907001	c:0.442613900061	c:0.338520024587	c:0.362140966973	c:0.468962954892	c:0.582390294628	c:0.534416373443	c:0.481854456602	c:0.863526325306	c:0.799958326121	c:0.709483732743	c:0.349228185135	c:0.700090684122	c:0.603551254186
megasphaera.type1	a:0.277101318357	a:0.939951777996	a:0.105132345734	a:0.435825539141	a:1.06075055417	a:0.695604833081	a:0.597516209807	b:-0.64398349791	a:0.72937214063	a:0.704244565161	a:0.351194468988	a:0.847315123586	b:-0.317512281953	b:-0.177493293923	b:-0.337034671633	b:-0.0260894372662	a:0.657836861417	b:-0.200041717844	a:0.871676614436	a:0.262426541898	b:-0.212550177245	a:1.05260877709	a:0.636416284295	b:-0.739973900537	a:0.503258009622	a:0.485318861485	a:1.04403288539	a:0.189857048452	b:-0.203999821704	a:0.452853897787	a:0.608249906509	b:-0.173752247372	a:0.239482307591	a:0.875732606885	b:-0.124301485285	b:-0.0631892129024	b:-0.213826984942	a:0.747711355178	b:-0.26257124677	a:0.489685543807	b:-0.0549921074905	a:0.506790510915	b:-0.160511751559	a:0.615961824996	b:-0.116091611796	b:-0.521256742117	b:-0.358825522988
prevotella.amnii	b:-0.0374445137142	b:-0.026659744704	a:0.154889541669	a:0.143951555735	a:0.0844693411782	b:-0.0141853335087	a:0.10254042611	a:0.0769787360251	b:-0.0120019923476	a:0.114282800893	a:0.134196744933	a:0.15408515282	a:0.318840161957	b:-0.0149982344088	a:0.120909432838	a:0.0528768627399	a:0.0514425820941	a:0.209856113005	a:0.158962558221	a:0.00903128644028	a:0.175309952762	a:0.10731143087	a:0.081596523861	a:0.132281533388	a:0.0812730659112	a:0.169164251716	a:0.118534570522	a:0.17688893828	a:0.0187818412163	a:0.240052615029	a:0.0146322162025	a:0.347696015899	a:0.227314330243	a:0.117879142571	b:-0.218227715469	b:-0.0936581005677	a:0.196487936422	a:0.199028783739	b:-0.351279589501	a:0.00297070590731	b:-0.0915556238941	a:0.0831244370712	a:0.0824392169407	a:0.0750252202494	b:-0.186865062416	a:0.160145733353	a:0.0736760601167
prevotella.buccalis	b:-0.0157898551807	b:-0.020611932248	b:-0.0662450393228	b:-0.0108996817029	b:-0.028770733429	b:-0.0362145222999	b:-0.0242210420036	b:-0.0438115280944	b:-0.0365762844806	b:-0.0376998752535	b:-0.0316861110028	b:-0.0342695185755	b:-0.0196883746808	b:-0.0163005782593	b:-0.000570307437793	b:-0.0349334585777	b:-0.0271960039366	b:-0.0138959237641	b:-0.0208332455821	b:-0.0239954726439	b:-0.0116827904234	b:-0.0397512796193	b:-0.0667046900935	b:-0.0350994435782	b:-0.0347291693462	b:-0.0494677861901	b:-0.0815497075788	b:-0.0171602954417	b:-0.0117210946543	b:-0.0480420175956	b:-0.0434838141189	b:-0.0804090927032	b:-0.0542302788982	b:-0.0246211084152	b:-0.0118445193983	b:-0.00298347398428	b:-0.0132277277363	b:-0.0404024515446	b:-0.0131681433771	b:-0.010750720805	b:-0.00552006527476	b:-0.0709777398513	b:-0.0195436698086	b:-0.0426581451418	b:-0.00958031374979	b:-0.0338907322921	b:-0.0403343551341
